#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
320002:6956,07/21/18 08:17:32,141,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.052523216,0.050203468
320006:6956,07/21/18 09:46:32,340,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.117879419,0.114140140
320010:6956,07/21/18 14:27:42,330,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.076664085,0.074676692
320011:6956,07/21/18 16:38:02,302,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.063113218,0.061138036
320012:6956,07/21/18 18:38:20,99,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.018711964,0.018060690
320023:6957,07/21/18 21:33:03,276,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.103950025,0.098834607
320024:6957,07/21/18 23:21:36,410,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.130440803,0.126440979
320025:6957,07/22/18 02:03:20,113,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.031215788,0.030113234
320026:6957,07/22/18 02:49:54,204,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051564606,0.050085703
320038:6960,07/22/18 07:09:04,621,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.227408676,0.218712390
320039:6960,07/22/18 11:13:45,30,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.009142264,0.008200272
320040:6960,07/22/18 11:29:06,737,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.183359086,0.177428533
320059:6961,07/22/18 18:43:23,105,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.043615700,0.040908654
320060:6961,07/22/18 19:27:05,42,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016524473,0.015725006
320061:6961,07/22/18 19:46:28,49,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.019093724,0.018270053
320062:6961,07/22/18 20:06:50,21,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.008000755,0.006956471
320063:6961,07/22/18 20:17:40,64,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.023691153,0.022166104
320064:6961,07/22/18 20:48:07,200,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.068380638,0.064866603
320065:6961,07/22/18 22:09:30,920,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.234981096,0.227086186
320673:7005,08/01/18 02:33:01,867,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.065886258,0.064592146
320674:7005,08/01/18 08:11:46,599,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.034307292,0.033749177
320688:7006,08/01/18 15:24:06,483,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.135321679,0.130855199
320712:7008,08/02/18 02:45:01,204,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.071961247,0.069579800
320757:7013,08/02/18 14:37:56,332,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.120886198,0.116683595
320804:7017,08/03/18 07:27:51,1229,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.330955853,0.319033307
320807:7017,08/03/18 15:28:46,7,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.001319980,0.000348408
320809:7017,08/03/18 15:43:13,716,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.109016947,0.106230704
320821:7018,08/03/18 23:57:32,181,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.062971560,0.060432928
320822:7018,08/04/18 01:09:16,523,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.155022448,0.149814403
320823:7018,08/04/18 04:34:31,360,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.082833311,0.080025310
320824:7018,08/04/18 06:55:49,1051,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.168366394,0.164020053
320838:7020,08/04/18 17:31:12,265,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.096928421,0.092366066
320840:7020,08/04/18 19:20:14,471,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.146842730,0.141043050
320841:7020,08/04/18 22:26:03,205,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.052347637,0.050468155
320853:7024,08/05/18 06:48:20,329,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.122363483,0.118065454
320854:7024,08/05/18 08:59:06,125,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.041400997,0.039644924
320855:7024,08/05/18 09:50:43,565,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.151991410,0.146559259
320856:7024,08/05/18 13:36:28,159,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.034598791,0.033490847
320857:7024,08/05/18 14:39:57,272,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.054740449,0.052859822
320858:7024,08/05/18 16:27:33,230,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.039032500,0.037521088
320859:7024,08/05/18 18:00:16,40,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.005145820,0.004926672
320887:7026,08/05/18 22:38:34,273,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.107833308,0.104361547
320888:7026,08/06/18 00:26:10,26,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.009764263,0.009500190
320916:7031,08/06/18 09:12:39,24,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.007336221,0.006635005
320917:7031,08/06/18 09:25:17,1926,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.492698235,0.477801747
320920:7031,08/06/18 21:56:15,178,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.024669249,0.024013428
320933:7033,08/07/18 03:29:36,172,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.054446952,0.051965819
320934:7033,08/07/18 04:38:31,826,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.217431928,0.210460582
320936:7033,08/07/18 10:01:22,400,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.081580034,0.078320032
320941:7033,08/07/18 12:39:42,93,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016178908,0.015638078
320980:7035,08/07/18 15:52:40,99,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.039561634,0.038407528
320995:7036,08/07/18 19:28:55,183,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.028183311,0.025796208
320996:7036,08/07/18 20:42:30,380,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.050584199,0.048288004
321004:7037,08/08/18 01:47:42,147,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.050292118,0.046906478
321005:7037,08/08/18 02:48:15,61,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.021380109,0.019195813
321006:7037,08/08/18 03:15:04,162,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.054086088,0.051704227
321007:7037,08/08/18 04:19:56,829,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.209654048,0.202763102
321009:7037,08/08/18 09:43:25,79,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.015507845,0.014732928
321010:7037,08/08/18 10:16:22,342,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.059726248,0.057206632
321011:7037,08/08/18 12:32:48,211,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.031527285,0.028948830
321012:7037,08/08/18 13:58:30,47,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.005390345,0.004974448
321051:7039,08/09/18 03:17:54,1113,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.326956568,0.311577321
321055:7039,08/09/18 10:35:36,730,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.128411458,0.125495500
321067:7040,08/09/18 18:21:44,593,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.179546898,0.172706969
321068:7040,08/09/18 22:16:40,707,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.151436924,0.147136741
321069:7040,08/10/18 02:54:15,313,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051305481,0.049557775
321119:7042,08/10/18 15:12:52,169,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.062509106,0.058668389
321121:7042,08/10/18 16:22:06,46,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.017000011,0.015831462
321122:7042,08/10/18 16:42:10,391,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.126907640,0.120346156
321124:7042,08/10/18 19:20:25,818,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.192703177,0.185307787
321126:7042,08/11/18 01:03:45,493,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.081502595,0.078957429
321134:7043,08/11/18 08:39:55,38,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.008416261,0.008164269
321138:7043,08/11/18 09:32:55,735,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.149384450,0.141976762
321140:7043,08/11/18 14:25:01,798,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.119693342,0.116949370
321149:7045,08/11/18 22:25:55,1697,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.446894650,0.433916174
321165:7047,08/12/18 15:19:23,2,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.000806762,0.000389898
321166:7047,08/12/18 15:42:32,10,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003997463,0.003380938
321167:7047,08/12/18 15:51:01,918,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.282763401,0.274126989
321177:7048,08/13/18 03:40:20,411,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.156072679,0.151674214
321178:7048,08/13/18 06:57:22,74,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.023596124,0.023034517
321218:7052,08/13/18 12:13:49,914,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.296324865,0.282500585
321219:7052,08/13/18 18:10:44,930,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.186211343,0.181189493
321221:7052,08/14/18 00:13:21,40,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.006038613,0.005906206
321230:7053,08/14/18 03:33:41,81,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.032086407,0.022670378
321231:7053,08/14/18 04:09:24,59,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.024679614,0.014523657
321232:7053,08/14/18 04:36:11,24,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.009687275,0.006057920
321233:7053,08/14/18 04:47:55,727,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.238948586,0.231852526
321262:7054,08/14/18 12:50:07,4,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.001737787,0.001669120
321283:7055,08/14/18 15:05:56,310,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.124953463,0.119780879
321294:7055,08/14/18 17:35:51,62,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.022067521,0.020610486
321295:7055,08/14/18 18:01:35,734,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.208661372,0.201490287
321296:7055,08/14/18 22:55:44,56,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.012397914,0.011876596
321305:7056,08/15/18 02:02:21,2628,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.622179623,0.601904551
321311:7056,08/15/18 20:48:28,10,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.000941655,0.000473243
321312:7056,08/15/18 20:55:17,761,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.061529666,0.060265688
321313:7056,08/16/18 01:55:17,408,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.026959409,0.026586081
321393:7058,08/17/18 05:32:36,138,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051870893,0.049689179
321396:7058,08/17/18 06:29:54,1469,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.378296920,0.365018162
321397:7058,08/17/18 16:06:23,365,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.053675056,0.052262513
321414:7061,08/17/18 21:14:10,1243,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.395274302,0.380801771
321415:7061,08/18/18 05:21:19,804,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.146243466,0.142213696
321431:7063,08/18/18 13:51:46,153,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.059086784,0.055907925
321432:7063,08/18/18 14:54:29,47,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.018178671,0.016577963
321433:7063,08/18/18 15:15:09,125,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.045595448,0.042731538
321434:7063,08/18/18 16:07:00,642,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.187641856,0.180882406
321436:7063,08/18/18 20:20:52,710,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.142079561,0.138441929
321457:7065,08/19/18 07:38:11,1844,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.501709771,0.482761896
321461:7065,08/19/18 19:38:10,149,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.021566306,0.021013094
321475:7069,08/20/18 01:30:43,2028,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.488689788,0.471912521
321710:7078,08/23/18 13:20:08,52,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.018046259,0.017235399
321712:7078,08/23/18 13:42:14,247,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.087886196,0.084378140
321730:7080,08/23/18 21:10:55,286,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.112375837,0.102670881
321732:7080,08/23/18 23:11:04,1407,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.358201362,0.344691952
321735:7080,08/24/18 08:33:27,146,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.024345227,0.023661290
321755:7083,08/24/18 13:48:50,686,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.221469550,0.213437556
321758:7083,08/24/18 18:21:07,152,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.038637372,0.037517590
321760:7083,08/24/18 19:44:52,805,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.150632665,0.146153421
321773:7087,08/25/18 12:11:58,55,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.022124395,0.021058783
321774:7087,08/25/18 12:43:49,117,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.045889276,0.043723139
321775:7087,08/25/18 13:36:11,13,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.004960631,0.004807240
321776:7087,08/25/18 13:57:38,30,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.010990012,0.010304681
321777:7087,08/25/18 14:14:59,187,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.063976900,0.058616866
321778:7087,08/25/18 16:07:27,136,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.039886442,0.036058295
321780:7087,08/25/18 17:04:57,481,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.116933559,0.113674716
321781:7087,08/25/18 20:38:11,380,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.070570108,0.068009102
321813:7090,08/26/18 09:20:15,321,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.125075552,0.120243809
321815:7090,08/26/18 12:01:16,23,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.007776365,0.005120206
321817:7090,08/26/18 12:20:00,536,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.153547752,0.148473508
321818:7090,08/26/18 15:50:06,690,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.142889883,0.138015405
321820:7090,08/26/18 20:26:15,214,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.032880906,0.032068958
321831:7091,08/27/18 00:10:22,752,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.259147823,0.248042890
321832:7091,08/27/18 05:06:22,494,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.120327552,0.115961844
321833:7091,08/27/18 08:27:00,398,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.076878879,0.074190773
321834:7091,08/27/18 11:05:28,333,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.051569711,0.049809506
321879:7092,08/27/18 17:57:43,265,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.096052125,0.090170659
321880:7092,08/27/18 20:01:46,130,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.042742253,0.041375820
321887:7095,08/28/18 01:04:04,895,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.287810036,0.276941304
321908:7097,08/28/18 13:40:10,426,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.155763299,0.145314737
321909:7097,08/28/18 16:31:34,1653,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.351568812,0.340569377
321917:7098,08/29/18 05:24:24,798,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.271675031,0.261219957
321919:7098,08/29/18 10:38:52,6,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.001642874,0.001488823
321933:7099,08/29/18 14:09:13,282,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.104891275,0.101007248
321960:7101,08/29/18 21:26:49,24,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.007956220,0.007304486
321961:7101,08/29/18 21:43:01,354,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.138272961,0.132126192
321973:7105,08/30/18 09:44:30,1208,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.373337456,0.358666936
321975:7105,08/30/18 17:37:18,866,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.150778733,0.145783784
321988:7108,08/31/18 03:56:29,1329,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.399919959,0.384021716
321990:7108,08/31/18 13:16:37,471,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.083326865,0.081031948
322013:7109,08/31/18 18:44:38,9,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.002365163,0.001146111
322014:7109,08/31/18 18:52:10,17,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.007087789,0.006669868
322022:7110,08/31/18 21:02:55,1749,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.469842949,0.452968644
322040:7112,09/01/18 11:09:06,39,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.014437023,0.013692424
322057:7114,09/01/18 20:28:32,21,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.008912977,0.008235478
322068:7117,09/02/18 02:40:56,674,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.243731161,0.232599447
322079:7118,09/02/18 11:24:26,360,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.146804255,0.140244760
322106:7120,09/02/18 21:40:43,824,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.292892361,0.281859052
322113:7122,09/03/18 06:37:14,108,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.043431506,0.040789720
322118:7122,09/03/18 07:20:37,861,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.278951041,0.268228934
322179:7123,09/03/18 16:39:51,1739,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.487940057,0.469749616
322201:7124,09/04/18 05:55:39,222,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.090596326,0.084335391
322204:7124,09/04/18 07:24:58,1136,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.325525462,0.311166308
322222:7124,09/04/18 14:53:45,526,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.096306016,0.092744223
322252:7125,09/04/18 20:29:20,1545,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.439089321,0.420357700
322317:7127,09/05/18 12:01:44,54,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.020269615,0.019245910
322319:7127,09/05/18 12:25:29,161,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.063767846,0.055502234
322322:7127,09/05/18 13:29:27,1107,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.303551393,0.292464047
322324:7127,09/05/18 21:27:53,416,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.071323290,0.069259748
322332:7128,09/06/18 02:11:56,1019,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.326773150,0.313995681
322348:7131,09/06/18 13:43:39,1466,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.430051125,0.414112209
322355:7132,09/07/18 01:05:42,99,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.036048974,0.033876145
322356:7132,09/07/18 01:45:19,779,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.242598280,0.234583361
322381:7133,09/07/18 11:10:32,533,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.186111260,0.178729681
322407:7135,09/07/18 17:47:22,537,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.178564202,0.169958460
322430:7137,09/08/18 01:19:19,739,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.244775592,0.235401386
322431:7137,09/08/18 06:12:25,1161,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.235683783,0.227638504
322480:7139,09/08/18 17:33:13,341,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.117973101,0.109337400
322492:7139,09/08/18 20:56:03,1386,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.297741084,0.287515085
322510:7142,09/09/18 08:32:39,9,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.002497753,0.002228890
322599:7144,09/09/18 15:58:47,252,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.100548692,0.094350581
322602:7144,09/09/18 17:40:01,69,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.025794356,0.024109024
322603:7144,09/09/18 18:08:09,10,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003641608,0.002693892
322605:7144,09/09/18 18:13:23,280,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.093444700,0.089623887
322617:7144,09/09/18 21:12:33,601,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.141694463,0.136645564
322625:7145,09/10/18 03:32:10,1120,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.347816656,0.335273291
322633:7145,09/10/18 10:51:34,249,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.052624689,0.050945617
323414:7213,09/24/18 01:51:16,40,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.006922388,0.006204142
323423:7213,09/24/18 05:01:48,136,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.022299813,0.021037074
323470:7217,09/24/18 13:47:51,221,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.084338654,0.080200218
323471:7217,09/24/18 15:18:19,232,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.080490089,0.075495647
323472:7217,09/24/18 16:50:41,64,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.020335972,0.019315198
323473:7217,09/24/18 17:40:41,227,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.063902526,0.054519627
323474:7217,09/24/18 19:42:20,352,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.080373578,0.077807771
323475:7217,09/24/18 22:00:42,77,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.014812315,0.014194080
323487:7218,09/25/18 03:28:20,451,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.161053632,0.154166173
323488:7218,09/25/18 06:30:08,745,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.193196247,0.186197456
323492:7218,09/25/18 11:45:43,30,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.006473907,0.005823197
323493:7218,09/25/18 11:58:37,140,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.028298225,0.027375069
323495:7218,09/25/18 12:54:31,187,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.033597040,0.032346526
323524:7221,09/25/18 22:36:20,531,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.179811734,0.172934401
323525:7221,09/26/18 02:05:25,1117,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.251759819,0.242648282
323526:7221,09/26/18 09:22:43,462,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.066501059,0.064950697
323693:7234,09/29/18 01:47:30,114,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.042896577,0.040083352
323696:7234,09/29/18 02:33:10,257,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.093142024,0.088847729
323702:7234,09/29/18 08:56:34,808,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.150177767,0.145958433
323725:7236,09/29/18 18:38:39,329,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.125225614,0.118533090
323726:7236,09/29/18 20:49:58,53,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.018453247,0.014606471
323727:7236,09/29/18 21:13:04,971,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.255954811,0.246903637
323755:7239,09/30/18 11:17:44,929,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.308086666,0.296639246
323775:7240,09/30/18 19:49:18,129,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.049072549,0.046767743
323778:7240,09/30/18 20:41:26,934,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.282906951,0.270935867
323790:7242,10/01/18 07:35:02,900,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.290147770,0.276737455
323794:7242,10/01/18 13:29:17,68,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016768359,0.016056603
323841:7245,10/01/18 23:32:02,464,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.162744282,0.155038205
323857:7245,10/02/18 02:35:30,357,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.098889061,0.095513180
323940:7252,10/03/18 01:12:47,1519,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.447438312,0.426706208
323954:7252,10/03/18 11:06:37,77,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.015712808,0.015140930
323976:7253,10/03/18 14:01:34,47,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.016963070,0.014398816
323978:7253,10/03/18 14:23:01,68,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.027109874,0.021951778
323980:7253,10/03/18 14:51:36,199,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.072957343,0.067731897
323983:7253,10/03/18 16:11:58,187,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.060631629,0.056791397
